9.441078948974609375e+01,7.486582946777343750e+01,9.790043234825134277e-01,1.422413349151611328e+01
1.094401779174804688e+02,8.159663391113281250e+01,1.095305442810058594e+00,7.211636543273925781e+00
1.027323608398437500e+02,7.209675598144531250e+01,9.788404703140258789e-01,8.160052299499511719e+00
1.041714401245117188e+02,8.548561859130859375e+01,1.122750282287597656e+00,1.378419208526611328e+01
9.771967315673828125e+01,7.165071105957031250e+01,9.622633457183837891e-01,7.965931415557861328e+00
9.849488067626953125e+01,7.568258666992187500e+01,9.843344688415527344e-01,8.163875579833984375e+00
1.016981430053710938e+02,7.235951995849609375e+01,1.002381682395935059e+00,8.593416213989257812e+00
1.068986892700195312e+02,7.863021850585937500e+01,1.075815320014953613e+00,8.280693054199218750e+00
1.019294586181640625e+02,8.501158142089843750e+01,1.082414984703063965e+00,1.528372192382812500e+01
1.027351303100585938e+02,7.509486389160156250e+01,9.926155805587768555e-01,7.698990821838378906e+00
9.520403289794921875e+01,6.913182830810546875e+01,9.018578529357910156e-01,8.317759513854980469e+00
1.050326919555664062e+02,7.096868896484375000e+01,1.010192751884460449e+00,8.515304565429687500e+00
1.039942626953125000e+02,7.094068145751953125e+01,9.909633994102478027e-01,7.557569980621337891e+00
1.048939056396484375e+02,8.143938446044921875e+01,1.066814064979553223e+00,7.804658412933349609e+00
1.005579757690429688e+02,7.891439819335937500e+01,1.029930233955383301e+00,1.424018764495849609e+01
1.014253692626953125e+02,7.997869110107421875e+01,1.042943954467773438e+00,1.468084049224853516e+01
9.674233245849609375e+01,6.789092254638671875e+01,9.315074682235717773e-01,7.359167575836181641e+00
1.009382019042968750e+02,7.338706970214843750e+01,9.912514686584472656e-01,7.511767864227294922e+00
1.053758850097656250e+02,7.546192169189453125e+01,1.016951799392700195e+00,7.444459438323974609e+00
9.646337127685546875e+01,7.417741394042968750e+01,9.835349321365356445e-01,9.344448089599609375e+00
