model,horizon,recompute_interval,evaluation_time_seconds
mpc,10,1,34.19851899147034
mpc,10,5,7.859344244003296
mpc,10,10,2.9971654415130615
mpc,20,1,71.58407783508301
mpc,20,5,16.629886865615845
mpc,20,10,3.224074602127075
mpc,30,1,398.1267795562744
mpc,30,5,53.196229219436646
mpc,30,10,6.423975706100464
mpc,40,1,1318.7421276569366
mpc,40,5,230.53311777114868
mpc,40,10,6.5562543869018555
mpc,50,1,1534.3083896636963
mpc,50,5,134.26291012763977
mpc,50,10,4.858669281005859
mpc,60,1,1699.6034562587738
mpc,60,5,242.32697534561157
mpc,60,10,8.677301406860352
mpc,70,1,1931.984311580658
mpc,70,5,130.49477243423462
mpc,70,10,6.694728136062622
mpc,80,1,2342.597728729248
mpc,80,5,157.6528284549713
mpc,80,10,8.924004554748535
mpc,90,1,1881.1392266750336
mpc,90,5,217.09935069084167
mpc,90,10,13.385420322418213
mpc,100,1,2320.35462141037
mpc,100,5,123.17288708686829
mpc,100,10,16.133538007736206
