3.748445510864257812e+01,5.116014099121093750e+01,6.792310476303100586e-01,2.355192565917968750e+01
3.563578033447265625e+01,8.607337951660156250e+01,1.327528834342956543e+00,5.069181823730468750e+01
3.713132476806640625e+01,8.230818176269531250e+01,1.153339862823486328e+00,4.612331771850585938e+01
3.409914779663085938e+01,6.448199462890625000e+01,8.424300551414489746e-01,3.430358123779296875e+01
3.177112388610839844e+01,5.172529983520507812e+01,5.327703356742858887e-01,2.799377822875976562e+01
3.152388000488281250e+01,7.461800384521484375e+01,7.537606954574584961e-01,4.477512359619140625e+01
3.583414077758789062e+01,5.454379272460937500e+01,6.494064331054687500e-01,2.711971282958984375e+01
3.130660247802734375e+01,8.424169921875000000e+01,8.334317803382873535e-01,4.775490951538085938e+01
3.063655281066894531e+01,7.208641815185546875e+01,7.042713165283203125e-01,3.614912033081054688e+01
3.090531730651855469e+01,7.992642974853515625e+01,8.479694724082946777e-01,5.192160415649414062e+01
3.103117179870605469e+01,5.464360046386718750e+01,5.402352809906005859e-01,2.459416580200195312e+01
3.128572463989257812e+01,6.755164337158203125e+01,7.138606905937194824e-01,3.245851898193359375e+01
3.420003128051757812e+01,8.451065826416015625e+01,1.211539983749389648e+00,4.661713027954101562e+01
3.066790390014648438e+01,7.673737335205078125e+01,7.368609905242919922e-01,3.669666290283203125e+01
2.916334915161132812e+01,7.559579467773437500e+01,1.094868659973144531e+00,5.240618896484375000e+01
2.954255294799804688e+01,6.673050689697265625e+01,7.402848601341247559e-01,3.842680358886718750e+01
3.029915618896484375e+01,4.602953720092773438e+01,5.414023995399475098e-01,2.400098037719726562e+01
2.992566490173339844e+01,4.764627838134765625e+01,4.398867189884185791e-01,2.669615936279296875e+01
3.037190055847167969e+01,7.100214385986328125e+01,7.489298582077026367e-01,3.744989013671875000e+01
3.179023742675781250e+01,4.527373886108398438e+01,6.216770410537719727e-01,2.314473152160644531e+01
