model,horizon,recompute_interval,evaluation_time_seconds
mpc,10,1,61.64760136604309
mpc,10,5,10.438056707382202
mpc,10,10,5.782683610916138
mpc,20,1,98.7660117149353
mpc,20,5,14.233019590377808
mpc,20,10,4.853456974029541
mpc,30,1,350.3503293991089
mpc,30,5,53.30764150619507
mpc,30,10,6.596499443054199
mpc,40,1,1366.1892795562744
mpc,40,5,178.03410720825195
mpc,40,10,4.5290305614471436
mpc,50,1,952.0310301780701
mpc,50,5,30.04709029197693
mpc,50,10,4.812188148498535
mpc,60,1,2166.468446493149
mpc,60,5,78.47379732131958
mpc,60,10,9.116583108901978
mpc,70,1,1713.1502306461334
mpc,70,5,78.02341389656067
mpc,70,10,10.344611644744873
mpc,80,1,2126.757068872452
mpc,80,5,49.19574308395386
mpc,80,10,6.888974666595459
mpc,90,1,2685.9823412895203
mpc,90,5,88.09415698051453
mpc,90,10,12.008530616760254
mpc,100,1,2456.8198981285095
mpc,100,5,105.28471422195435
mpc,100,10,13.273995876312256
