5.452543497085571289e-01,9.641827583312988281e+00,1.628263480961322784e-02,2.095174407958984375e+01
1.452460408210754395e+00,8.816890716552734375e+00,2.103167586028575897e-02,1.869122695922851562e+01
3.906325995922088623e-01,9.204504013061523438e+00,6.077048834413290024e-03,2.064653015136718750e+01
7.467172741889953613e-01,9.447754859924316406e+00,1.865033432841300964e-02,2.009574508666992188e+01
6.990696787834167480e-01,8.890869140625000000e+00,8.247349411249160767e-03,1.954617881774902344e+01
3.052991926670074463e-01,9.204294204711914062e+00,5.905738566070795059e-03,2.065273094177246094e+01
6.383930891752243042e-02,9.481106758117675781e+00,6.061136722564697266e-03,2.124771690368652344e+01
6.605815887451171875e-02,9.488445281982421875e+00,6.244026124477386475e-03,2.128536415100097656e+01
1.016204118728637695e+00,8.827672958374023438e+00,1.071527693420648575e-02,1.945091247558593750e+01
2.690125703811645508e-01,9.396844863891601562e+00,1.296568196266889572e-02,2.037358856201171875e+01
2.986051142215728760e-02,9.500146865844726562e+00,6.520876660943031311e-03,2.129711341857910156e+01
2.523494660854339600e-01,9.393080711364746094e+00,6.554435472935438156e-03,2.096268844604492188e+01
5.415769219398498535e-01,9.643936157226562500e+00,1.808923855423927307e-02,2.103413772583007812e+01
4.396413266658782959e-01,8.793846130371093750e+00,1.351237483322620392e-02,1.933317375183105469e+01
1.011556148529052734e+00,9.041636466979980469e+00,1.996704563498497009e-02,1.957354354858398438e+01
2.738211154937744141e-01,9.499940872192382812e+00,1.568643935024738312e-02,2.092376327514648438e+01
5.307698845863342285e-01,8.948850631713867188e+00,1.280392147600650787e-02,1.969358062744140625e+01
5.477562546730041504e-01,9.262284278869628906e+00,2.199317887425422668e-02,1.986541748046875000e+01
1.631799936294555664e+00,8.624254226684570312e+00,1.558411121368408203e-02,1.876837921142578125e+01
4.346969723701477051e-01,9.178424835205078125e+00,9.127021767199039459e-03,2.025044631958007812e+01
