Trial,Target Noise,Update Interval,Catch Time
0,0.0,1,20.0
0,0.0,3,19.0
0,0.0,5,19.0
0,0.0,7,34.0
0,0.0,9,58.0
0,0.003333333333333333,1,20.0
0,0.003333333333333333,3,19.0
0,0.003333333333333333,5,19.0
0,0.003333333333333333,7,35.0
0,0.003333333333333333,9,58.0
0,0.006666666666666666,1,22.0
0,0.006666666666666666,3,29.0
0,0.006666666666666666,5,34.0
0,0.006666666666666666,7,36.0
0,0.006666666666666666,9,59.0
0,0.009999999999999998,1,22.0
0,0.009999999999999998,3,29.0
0,0.009999999999999998,5,34.0
0,0.009999999999999998,7,36.0
0,0.009999999999999998,9,59.0
0,0.013333333333333332,1,22.0
0,0.013333333333333332,3,30.0
0,0.013333333333333332,5,34.0
0,0.013333333333333332,7,38.0
0,0.013333333333333332,9,69.0
0,0.016666666666666666,1,22.0
0,0.016666666666666666,3,30.0
0,0.016666666666666666,5,34.0
0,0.016666666666666666,7,78.0
0,0.016666666666666666,9,63.0
0,0.019999999999999997,1,22.0
0,0.019999999999999997,3,30.0
0,0.019999999999999997,5,34.0
0,0.019999999999999997,7,96.0
0,0.019999999999999997,9,63.0
0,0.02333333333333333,1,25.0
0,0.02333333333333333,3,30.0
0,0.02333333333333333,5,34.0
0,0.02333333333333333,7,96.0
0,0.02333333333333333,9,65.0
0,0.026666666666666665,1,67.0
0,0.026666666666666665,3,67.0
0,0.026666666666666665,5,128.0
0,0.026666666666666665,7,64.0
0,0.026666666666666665,9,65.0
0,0.03,1,67.0
0,0.03,3,67.0
0,0.03,5,128.0
0,0.03,7,64.0
0,0.03,9,65.0
1,0.0,1,20.0
1,0.0,3,19.0
1,0.0,5,19.0
1,0.0,7,34.0
1,0.0,9,58.0
1,0.003333333333333333,1,20.0
1,0.003333333333333333,3,19.0
1,0.003333333333333333,5,19.0
1,0.003333333333333333,7,19.0
1,0.003333333333333333,9,57.0
1,0.006666666666666666,1,22.0
1,0.006666666666666666,3,30.0
1,0.006666666666666666,5,32.0
